text,label
I dislike seeing people treated disrespectfully.,disgust
I feel anxious about receiving feedback.,fear
I feel frustrated by repeated technical problems,anger
I was disappointed with my performance.,sadness
I felt lonely during a challenging period.,sadness
I felt hurt by the unfair response.,sadness
The good news about my project made me smile.,joy
I was disappointed after missing the deadline.,sadness
I feel nervous about tomorrow's performance review.,fear
The toxic environment makes me uncomfortable.,disgust
The unethical actions were disgusting.,disgust
I was excited to see my work producing good results.,joy
The offensive behavior made me disgusted.,disgust
I strongly dislike people who behave dishonestly.,disgust
I enjoyed being part of the successful project.,joy
I am concerned that I cannot meet expectations,fear
I feel concerned about making mistakes,fear
I feel satisfied with my career progress,joy
I did not expect the meeting to change.,surprise
I am anxious about making a serious mistake.,fear
I was surprised by the team's reaction.,surprise
I felt uncomfortable after seeing the disrespect.,disgust
I feel stressed about the upcoming deadline,fear
I was angry when my deadline was changed without warning.,anger
The toxic environment is unpleasant.,disgust
The unexpected news surprised me.,surprise
The unreasonable expectations are frustrating.,anger
I never thought I would receive that feedback.,surprise
I dislike seeing dishonest behavior rewarded.,disgust
The upcoming interview makes me nervous.,fear
I felt proud when my manager highlighted my contribution.,joy
I felt enthusiastic about starting the new assignment.,joy
The difficult situation affected my mood.,sadness
I am upset about the unfair treatment of employees,anger
I am nervous about discussing my performance.,fear
I am annoyed by unnecessary meetings,anger
I am annoyed by unnecessary bureaucracy.,anger
The dishonest behavior made me disgusted.,disgust
The recognition made me feel valued.,joy
I am worried that I will miss the deadline,fear
I feel irritated by repeated interruptions.,anger
I feel annoyed when my suggestions are ignored.,anger
The constant pressure is making me angry.,anger
I feel confident after completing the task,joy
I was surprised to receive an award,surprise
Working on an interesting project makes me feel energetic.,joy
The successful outcome made me feel optimistic.,joy
I am upset about the unequal distribution of work,anger
The toxic conduct disgusted me.,disgust
I feel nervous about working with a new team.,fear
My team celebration made me feel appreciated.,joy
I was shocked by the unexpected outcome.,surprise
I was disappointed by the lack of recognition.,sadness
I feel furious about the way the issue was handled.,anger
The unfair distribution of work frustrated me.,anger
I was amazed by my team's performance,surprise
I felt lonely when nobody supported my idea.,sadness
I never expected to receive that opportunity.,surprise
The offensive remarks disgusted me.,disgust
The unethical conduct made me feel sick.,disgust
I am worried about handling the increased workload.,fear
The unfamiliar situation makes me uncomfortable.,fear
I feel uneasy about the upcoming changes.,fear
I felt emotionally exhausted after handling the workload.,sadness
I was shocked by the unexpected opportunity.,surprise
I was shocked when I heard the news.,surprise
I was disappointed that things did not improve.,sadness
I feel positive about my future at work,joy
The new environment makes me nervous.,fear
The careless treatment of employees disgusted me.,disgust
I felt discouraged after making the same mistake again.,sadness
I was sad after hearing that my project was cancelled.,sadness
I was disgusted by the inappropriate conduct.,disgust
I feel angry about being given too much work.,anger
I was disgusted by the rude response.,disgust
The unexpected support from my colleague surprised me.,surprise
I was happy that my suggestion was implemented.,joy
I dislike seeing coworkers treated badly.,disgust
I felt disappointed after failing to reach my goal.,sadness
The unexpected problem made me feel helpless.,sadness
I was amazed by how things changed.,surprise
I was unhappy with the final decision.,sadness
I was happy to see my work making a difference.,joy
I felt confident after successfully handling the task.,joy
I feel angry about the lack of recognition.,anger
I was thrilled when the deadline was successfully met.,joy
I am pleased with the progress of our project,joy
I feel annoyed by the lack of communication,anger
The loss of support made me feel lonely.,sadness
I felt proud when I completed my assignment successfully.,joy
I was surprised when my manager praised my work.,surprise
I feel discouraged by the workplace situation,sadness
I feel nervous when deadlines are approaching.,fear
I was surprised to receive recognition,surprise
The positive meeting gave me renewed energy.,joy
I feel very happy about my work today,joy
I was disgusted by the careless treatment of customers.,disgust
I dislike the lack of basic respect.,disgust
I am worried about meeting my new responsibilities.,fear
I feel anxious about the approaching deadline.,fear
I strongly dislike manipulative workplace behavior.,disgust
I am annoyed by the poor planning.,anger
I felt positive after solving the customer's problem.,joy
I was surprised by the unusual decision.,surprise
I feel emotionally tired from constant pressure,sadness
I was delighted that my effort was recognized.,joy
I am afraid my performance will not be good enough.,fear
I am angry because my contributions were ignored,anger
I feel fulfilled by the work I do,joy
I did not expect to finish the project so early,surprise
The situation leaves me feeling uneasy.,fear
The difficult workload made me feel emotionally drained.,sadness
The repeated interruptions are extremely irritating.,anger
I was upset by the lack of fairness.,anger
The negative workplace culture makes me uncomfortable.,disgust
I am afraid of missing an important detail.,fear
I felt irritated after another unexpected task was assigned.,anger
I am upset because my colleague took credit for my work.,anger
The rude behavior made me feel sick.,disgust
I was surprised by the unexpected promotion,surprise
I felt sad about the conflict with my colleague.,sadness
I enjoyed seeing the project come together.,joy
I was amazed by the team's unexpected result.,surprise
I felt enthusiastic about tomorrow's tasks.,joy
I felt excited about my professional growth.,joy
The unfair behavior made me furious.,anger
I feel discouraged about my career progress,sadness
I was irritated by the constant noise.,anger
I dislike the disrespectful behavior in the workplace.,disgust
The unexpected result was astonishing.,surprise
The sudden improvement surprised everyone.,surprise
I am nervous about starting the new role.,fear
I am afraid of failing the evaluation.,fear
The sudden promotion surprised me.,surprise
The lack of preparation makes me nervous.,fear
The lack of support made me extremely annoyed.,anger
The unexpected promotion surprised me.,surprise
I feel disgusted by unfair workplace practices,disgust
The project milestone gave me a strong sense of achievement.,joy
The lack of accountability is frustrating.,anger
I was shocked by the sudden announcement,surprise
The unfair workload distribution makes me angry.,anger
I was surprised by how quickly the problem was solved.,surprise
I worry about the future of the project.,fear
I dislike the constant gossip in the workplace,disgust
I was sad that my effort did not produce results.,sadness
I felt alone when my colleagues stopped communicating.,sadness
The unexpected response amazed me.,surprise
The unexpected outcome amazed me.,surprise
I felt low after an unsuccessful presentation.,sadness
The repeated mistakes made me furious.,anger
The repeated delays are making me furious.,anger
I am frustrated with the way this project is being handled.,anger
I feel annoyed by constant unnecessary meetings.,anger
I was furious when my effort was criticized unfairly.,anger
The sudden change surprised me greatly.,surprise
The rude treatment disgusted me.,disgust
The toxic environment is difficult to tolerate.,disgust
I was uncomfortable with the rude comments.,disgust
I feel low after a difficult week,sadness
I am upset because my concerns were ignored,anger
I was sad that my expectations were not met.,sadness
The new responsibilities make me uncomfortable.,fear
My colleagues made me feel welcome,joy
The unethical behavior made me feel disgusted.,disgust
I am cheerful because my project went well,joy
The long hours left me feeling exhausted.,sadness
The sudden invitation was unexpected.,surprise
I was pleased with my performance today.,joy
I feel nervous about the upcoming presentation,fear
The possibility of failure makes me nervous.,fear
The sudden opportunity came as a surprise.,surprise
The upcoming deadline makes me nervous.,fear
I feel uncertain about my future at the company,fear
I enjoyed the challenge and the final result.,joy
The uncertain situation makes me nervous.,fear
I felt proud when my solution worked perfectly.,joy
I was surprised by the positive outcome.,surprise
I was angry about the unreasonable deadline.,anger
I did not expect my manager to support the idea.,surprise
The rude attitude disgusted me.,disgust
I felt energized after receiving good news.,joy
I did not expect the project to succeed so quickly,surprise
I feel annoyed when decisions are made without discussion.,anger
I was amazed by the unexpected result,surprise
I am frustrated because nobody takes responsibility.,anger
I strongly dislike unethical decisions.,disgust
I am afraid of making an embarrassing mistake.,fear
I was shocked when the meeting was cancelled,surprise
The repeated failures made me lose motivation.,sadness
I feel tired and emotionally exhausted from work.,sadness
I am worried about failing the project,fear
I am uncomfortable with the toxic team environment,disgust
The sudden change in plans surprised everyone.,surprise
I felt unhappy about the outcome.,sadness
I was thrilled to achieve my weekly target.,joy
I am upset because things did not go as planned,sadness
I felt grateful when my colleagues supported my idea.,joy
I felt disappointed when my work was ignored.,sadness
I dislike the constant rude behavior.,disgust
I was delighted when my project was approved.,joy
I enjoyed learning something new at work today.,joy
I feel anxious about my future at work.,fear
I was upset because the rules were applied unfairly.,anger
I am excited to learn new skills,joy
I became angry after being blamed for someone else's mistake.,anger
The unfair policy made me furious.,anger
I am scared about the changes happening at work,fear
The rude comments disgusted me.,disgust
I felt disappointed with the way things developed.,sadness
I feel scared about losing my job,fear
I strongly dislike the negative workplace culture.,disgust
I was angry about the sudden workload increase.,anger
I enjoyed helping my colleague complete the task.,joy
I feel discouraged about my current progress.,sadness
I worry about the consequences of my decision.,fear
The possibility of conflict makes me anxious.,fear
I am afraid of making the wrong decision,fear
I am motivated to do my best work,joy
The achievement gave me a boost of confidence.,joy
I feel uneasy about the difficult discussion.,fear
The disrespectful behavior was unpleasant.,disgust
I did not anticipate such a quick solution.,surprise
I feel appreciated by my coworkers,joy
I felt accomplished after reaching my goal.,joy
I dislike the negative behavior in the office.,disgust
I did not expect to receive an award.,surprise
I feel proud of my recent achievement,joy
The unexpected recognition surprised me.,surprise
The unexpected announcement caught me by surprise.,surprise
The upcoming presentation makes me anxious.,fear
The sudden announcement surprised me.,surprise
I am anxious about my job security,fear
The situation is making me increasingly angry.,anger
My team appreciated the effort I put into the project.,joy
I never anticipated such a result.,surprise
I feel frustrated with the repeated technical problems.,anger
I felt happy seeing everyone celebrate the achievement.,joy
I became angry after being interrupted during my presentation.,anger
I enjoyed today's teamwork.,joy
I felt emotionally exhausted after the meeting.,sadness
I was angry when my leave request was rejected without explanation.,anger
The inappropriate behavior was disgusting.,disgust
I felt miserable after receiving the rejection.,sadness
I feel uncomfortable when employees are humiliated,disgust
I feel nervous about handling the responsibility alone.,fear
I was sad that my plans did not work.,sadness
The workplace behavior is unacceptable,disgust
I was uncomfortable with the way the situation was handled.,disgust
I strongly dislike workplace bullying,disgust
Finishing the project early made me feel great.,joy
I am nervous about an important client meeting,fear
The project delay made me feel disappointed.,sadness
I am nervous about what will happen next.,fear
I was discouraged by the difficult circumstances.,sadness
The failed attempt made me feel discouraged.,sadness
I was discouraged by the lack of improvement.,sadness
I feel disgusted by the unfair treatment,disgust
I am concerned about my job security.,fear
I never expected my team to celebrate my achievement.,surprise
I feel uneasy when expectations are unclear.,fear
I feel lonely even when I am around my coworkers,sadness
The unexpected change made me nervous.,fear
I was excited about the opportunities coming next.,joy
The unexpected result left me amazed.,surprise
The unethical behavior disgusted me.,disgust
I feel hopeless about improving my current situation,sadness
I feel anxious before major presentations.,fear
I was surprised by the sudden change in responsibilities,surprise
I was shocked by the unexpected decision.,surprise
I feel irritated when my work is not respected,anger
I feel anxious about the next stage.,fear
I worry about making mistakes under pressure.,fear
The pressure makes me feel worried.,fear
I never expected such positive feedback,surprise
I am grateful for the support from my team,joy
I feel nervous before important meetings.,fear
The positive feedback increased my motivation.,joy
I became sad after hearing the disappointing news.,sadness
I feel irritated by constant last-minute changes.,anger
I am afraid that my performance will not be good enough,fear
The toxic workplace culture is unpleasant.,disgust
I felt positive after a productive day.,joy
I am disappointed that my efforts were not recognized,sadness
I am afraid that I will disappoint everyone.,fear
I am afraid that I will not meet expectations.,fear
I was irritated by the negative attitude of my teammate.,anger
The disrespect shown during the meeting was disgusting.,disgust
My manager's unfair decision made me furious.,anger
The rejection made me feel discouraged.,sadness
The lack of respect is frustrating.,anger
I strongly dislike the hostile communication style,disgust
I strongly dislike dishonest practices.,disgust
I was excited to learn that my work had been selected.,joy
The unexpected change caught me completely off guard.,surprise
I feel nervous when I have to speak in meetings,fear
I felt sad after losing an important opportunity.,sadness
I worry that my work will not be accepted.,fear
I felt sad because my work was not valued.,sadness
The unexpected success amazed me.,surprise
I felt disgusted by the toxic attitude.,disgust
I felt lonely during the long workday.,sadness
I did not anticipate receiving recognition.,surprise
The lack of information makes me worried.,fear
I fear that my mistakes will affect the team.,fear
I dislike the lack of professionalism,disgust
I was unhappy with the lack of progress.,sadness
I cannot stand the constant negativity,disgust
I felt optimistic about the next phase of the project.,joy
I was disappointed by the unexpected decision.,sadness
I feel furious about the unfair treatment.,anger
The sudden success caught me by surprise.,surprise
I felt proud of my improvement.,joy
I feel uneasy about working on the unfamiliar task.,fear
I am upset about the repeated broken promises.,anger
The careless decision made me angry.,anger
I was amazed by the unexpected achievement.,surprise
I was sad when my teammate left the organization.,sadness
The criticism left me feeling discouraged.,sadness
I am irritated by constant interruptions,anger
I worry that my efforts may fail.,fear
The unfair treatment made me angry.,anger
I am disgusted by dishonest behavior,disgust
The sudden decision surprised the whole team.,surprise
I never expected the project to succeed so quickly.,surprise
I did not expect such a quick response.,surprise
The rude behavior made me feel uncomfortable.,disgust
I feel nervous when important decisions are required.,fear
I was sad about missing the opportunity.,sadness
I felt uncomfortable with the rude attitude.,disgust
The poor management made me frustrated.,anger
The approaching review makes me uneasy.,fear
I felt lucky to work with such supportive colleagues.,joy
I am furious about the unreasonable workload,anger
The stressful environment affected my mood.,sadness
The unfair and disrespectful behavior disgusted me.,disgust
The uncertain result makes me nervous.,fear
I was amazed by the result.,surprise
I was disgusted by the way employees were treated.,disgust
The difficult presentation makes me anxious.,fear
I dislike the constant negativity around me.,disgust
I am amazed by how quickly the project finished,surprise
I am afraid that I might lose the opportunity.,fear
I felt disgusted by the dishonest actions.,disgust
I was annoyed by the unnecessary criticism.,anger
I dislike the toxic atmosphere in the office,disgust
I did not expect to be selected.,surprise
I was surprised when my colleague offered help,surprise
I feel isolated from my team,sadness
I was sad about the poor outcome.,sadness
I was amazed by the sudden announcement.,surprise
I was shocked when the project was approved.,surprise
I was surprised by my team's reaction.,surprise
I fear making a bad impression.,fear
I am nervous about receiving performance feedback,fear
I was unhappy with how the situation ended.,sadness
The toxic atmosphere is disturbing.,disgust
I became angry when my request was ignored.,anger
I worry that my manager is unhappy with my performance,fear
The toxic behavior made me uncomfortable.,disgust
I was unhappy that my contribution was ignored.,sadness
I am worried about unexpected changes in my role,fear
I was sad to leave my supportive team.,sadness
I did not expect my manager to approve the request,surprise
I felt unhappy about the situation.,sadness
The offensive comments were unpleasant.,disgust
I feel annoyed when people break agreements.,anger
I am upset that nobody listened to my concerns.,anger
I am unhappy with the lack of support,sadness
I was sad when my colleague resigned.,sadness
I never expected such a positive response.,surprise
I am concerned about the upcoming decision.,fear
I am afraid that my performance will be judged negatively.,fear
I am angry about being treated disrespectfully.,anger
I was uncomfortable with the toxic environment.,disgust
The sudden change surprised me.,surprise
I worry about how others will react.,fear
I feel emotionally drained after a difficult week.,sadness
The way the issue was handled disgusted me.,disgust
The situation made me lose my patience.,anger
I dislike seeing people treated without respect.,disgust
My colleagues congratulated me and I felt happy.,joy
I am struggling emotionally because of my workload,sadness
The disrespect was difficult to tolerate.,disgust
I never thought the issue would be resolved so quickly.,surprise
The situation made me feel emotionally tired.,sadness
I was surprised when the meeting was cancelled suddenly.,surprise
I felt genuinely happy with my progress.,joy
The constant pressure made me feel drained.,sadness
I felt proud of how much I accomplished.,joy
I was angry when my concerns were dismissed.,anger
The successful demonstration made me proud.,joy
The unfair treatment made me lose my temper.,anger
The criticism made me lose confidence.,sadness
The unexpected responsibility makes me anxious.,fear
I felt discouraged after the unsuccessful interview.,sadness
I am happy with the recognition I received,joy
I felt proud after overcoming the difficult problem.,joy
I was pleased with the progress I made today.,joy
I was disappointed when the opportunity was given to someone else.,sadness
I felt sad when the project ended unsuccessfully.,sadness
I am frustrated by the poor communication.,anger
I did not expect the opportunity to appear.,surprise
The unexpected result left me surprised.,surprise
I became furious after being blamed unfairly.,anger
The dishonest actions made me disgusted.,disgust
I was delighted by the successful project result.,joy
I felt happy knowing that my contribution helped the team.,joy
The unfair situation made me extremely angry.,anger
I feel disgusted when people are treated disrespectfully,disgust
I am concerned that I may not finish on time.,fear
I dislike the negative culture in the workplace,disgust
I felt hurt when my efforts were ignored.,sadness
The unexpected decision shocked me.,surprise
The unfair treatment was unpleasant to witness.,disgust
I felt motivated by the progress we made.,joy
I strongly dislike manipulative behavior.,disgust
I dislike the way some employees are treated.,disgust
I am angry about being treated unfairly,anger
I fear that I will make another mistake.,fear
I am angry because my responsibilities keep increasing.,anger
I worry that the workload is becoming unmanageable.,fear
I feel worried about the difficult assignment.,fear
I became frustrated when my work was repeatedly delayed.,anger
I feel angry when deadlines are changed unexpectedly,anger
I enjoy collaborating with my team,joy
I became angry after my work was criticized unfairly.,anger
The offensive behavior made me uncomfortable.,disgust
I strongly dislike dishonest communication.,disgust
The unexpected success caught me off guard.,surprise
I feel sad about the problems at work,sadness
I am irritated by the lack of communication.,anger
The unexpected promotion came as a shock.,surprise
I dislike the disrespect toward junior employees.,disgust
The disrespectful comments were disgusting.,disgust
I am irritated by the negative behavior of my coworker,anger
I am afraid that something could go wrong.,fear
The long working hours made me emotionally tired.,sadness
I felt fulfilled after helping the team.,joy
I am frustrated by the unfair workload.,anger
I am frustrated with poor management decisions,anger
I felt relaxed and happy after completing my responsibilities.,joy
I was surprised when my team supported my idea,surprise
My successful presentation made me feel confident and happy.,joy
My team's success made me genuinely happy.,joy
I was shocked by the unexpected workload change,surprise
I was frustrated when the system failed again.,anger
I worry about disappointing my manager.,fear
I am angry about the unfair workload,anger
I felt hurt when my contribution was overlooked.,sadness
I enjoyed working on the task with my teammates.,joy
I strongly dislike this disrespectful environment.,disgust
I strongly dislike the way employees are treated,disgust
The unfair decision made me furious.,anger
I did not expect to receive such positive feedback.,surprise
I was upset about the unreasonable demand.,anger
The uncertainty makes me feel afraid.,fear
I became frustrated with the slow response.,anger
I was surprised by the positive outcome,surprise
I worry about whether my team will succeed.,fear
The unexpected result caught me completely off guard.,surprise
My lack of progress made me feel discouraged.,sadness
I was happy to receive recognition for my contribution.,joy
The sudden success surprised me.,surprise
I was disappointed when my request was rejected.,sadness
The disrespect toward employees made me uncomfortable.,disgust
The disrespectful workplace culture is unpleasant.,disgust
The team's appreciation made me feel valued.,joy
I feel energized and enthusiastic about work,joy
The stressful project made me feel exhausted.,sadness
I enjoyed the sense of progress today.,joy
The sudden result surprised everyone.,surprise
I feel afraid when the situation becomes unpredictable.,fear
The negative feedback left me feeling down.,sadness
I am annoyed by constant workplace conflicts,anger
I was pleased that my efforts were noticed.,joy
I am afraid that the project will be cancelled.,fear
I was angry when my schedule was changed suddenly.,anger
I became angry when the meeting was changed at the last minute.,anger
The unexpected message surprised me.,surprise
The sudden change was surprising.,surprise
I felt uncomfortable with the toxic conversation.,disgust
I was furious about the careless mistake.,anger
I feel frustrated with my manager,anger
The failure of the project made me feel hopeless.,sadness
I did not expect my manager to appreciate my work,surprise
The unexpected result amazed me.,surprise
I have lost motivation because of repeated setbacks,sadness
The new project makes me nervous.,fear
I am excited about completing my project,joy
I felt disgusted by the way people were treated.,disgust
I was grateful for the encouragement I received.,joy
I am frustrated with unrealistic deadlines,anger
I was excited when my proposal was accepted.,joy
I cannot tolerate unethical behavior at work,disgust
The unexpected recognition caught me off guard.,surprise
I was surprised when my idea was accepted.,surprise
I feel anxious about taking responsibility.,fear
The team spirit made the work enjoyable.,joy
I am nervous about asking for help.,fear
I worry about whether I can succeed.,fear
The disrespectful comment made me upset.,anger
My team celebrated my success and I felt great,joy
I feel anxious because my workload keeps increasing,fear
I am afraid of making the wrong decision.,fear
I was furious after receiving an unfair complaint.,anger
I felt down after hearing criticism.,sadness
I was disgusted by the disrespectful response.,disgust
I never imagined the project would finish early.,surprise
The rude treatment made me feel disgusted.,disgust
I am uncomfortable with the disrespectful environment,disgust
I was upset when my colleague ignored my concerns.,anger
The disrespectful treatment made me disgusted.,disgust
The repeated delays made me feel hopeless.,sadness
I never expected such a positive reaction.,surprise
I feel uncomfortable with the hostile atmosphere,disgust
The positive response to my idea made me happy.,joy
The sudden success was surprising.,surprise
I felt disgusted by the unfair treatment.,disgust
The disrespect made me extremely upset.,anger
I felt encouraged by my team's support.,joy
I worry that I will disappoint my team,fear
I was shocked by the unexpected feedback.,surprise
I was disappointed by the unexpected setback.,sadness
The repeated delays are making me lose patience.,anger
I felt disappointed by my team's decision.,sadness
I worry that my project will fail.,fear
I did not expect such a helpful response,surprise
The unexpected announcement caught me off guard.,surprise
I am uneasy about the changes in management.,fear
I am anxious about taking on a new responsibility,fear
I felt unhappy with the way I was treated.,sadness
The successful result made all the effort worthwhile.,joy
I feel worried about losing my job.,fear
I felt satisfied after finishing everything on my task list.,joy
I was amazed by the unexpected support.,surprise
I feel anxious when I have to present my ideas.,fear
I feel angry about the lack of recognition,anger
I never expected my work to receive recognition.,surprise
I was unhappy after the failed meeting.,sadness
I felt grateful for the opportunity to contribute.,joy
The appreciation from my coworkers made my day.,joy
I feel down after receiving negative feedback,sadness
I became furious when my contribution was ignored.,anger
The sudden change was completely unexpected.,surprise
I am disappointed with my recent performance,sadness
